id,add01,title01,add02,title
10162,"""",Waking Ned,"""","""Waking Ned"""
10163,"""",The Lawnmower Man,"""","""The Lawnmower Man"""
10164,"""",Cadillac Man,"""","""Cadillac Man"""
10166,"""",The Witches,"""","""The Witches"""
10167,"""",Half Past Dead,"""","""Half Past Dead"""
10168,"""",The Freshman,"""","""The Freshman"""
10169,"""",Men at Work,"""","""Men at Work"""
10170,"""",The Russia House,"""","""The Russia House"""
10173,"""",Marked for Death,"""","""Marked for Death"""
10174,"""",Madonna: Truth or Dare,"""","""Madonna: Truth or Dare"""
10176,"""",The Quiet Earth,"""","""The Quiet Earth"""
10178,"""",The Caine Mutiny,"""","""The Caine Mutiny"""
